ID,Source,Source Approach,Source Type,Clause,Class,Datapoint,Aligned Datapoint,Impact Category,Impact Subcategory,Applies To,Asset,Asset Level,Datapoint Type,Requirement Type,Generally Needed,Impact Type,Indicator,Information Container,Asset Type,
1,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,expected lifetime,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
2,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,physical climate risks from the list in Appendix A,Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
3,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,materiality of the physical climate risks on the economic activity,Measures are in place,Climate Health,Climate Resilience Strategies,Materiality of Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
4,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,solutions that can reduce the identified physical climate risk,Solutions for Risk Mitigation,Climate Health,Climate Resilience Strategies,Project,,Project,Qualitative,Evidence,-,Environmental ,-,Risk Assessmnet ,,
5,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,expected lifespan,Expected Asset Lifetime,Asset Integrity,,Material,,Material,Quantitative,Representation,-,Physical characteristics,-,Material Passport,,
6,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,expected lifetime,Expected Asset Lifetime,Asset Integrity,,Product,,Product,Quantitative,Representation,-,Element Resilience,-,Product Specification Sheet,,
7,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,major investments,Scale of investment ,Social Health + Equity,,,,Portfolio,Quantitative,Representation,-,,-,,,
8,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,adaptation solutions,Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Identified,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
8,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,adaptation solutions,Measures are in place,Climate Health,Climate Resilience Strategies,Adaptation Solutions - Implemented,,Project,Qualitative,Evidence,-,Environmental ,-,Environmental Impact Assessments (EIAs),,
9,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,"level of resilience to physical climate risks of other people, of nature, of cultural heritage, of assets and of other economic activities",Measures are in place,Climate Health,Climate Resilience Strategies,Physical Climate Risks,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
10,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,pre-defined indicators,Measures are in place,Climate Health,Climate Resilience Strategies,Climate pre-defined indicators,,Project,Qualitative,Evidence,-,Environmental ,-,Climate change adaptation and impact report ,,
11,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,"	Primary 	Energy 	Demand",Primary Energy Demand (PED),Climate Health,Energy,Building,,Building,Quantitative,Representation,-,Energy Efficiency,Energy Consumption,Building Information,,
12,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,the threshold set for the nearly zero-energy building,Local threshold for Nearly zero-energy building (NZEB),Climate Health,Energy,Building,,Building,Qualitative,Representation,-,Energy Efficiency,-,Building Information,,
13,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum water flow,Water Efficiency,Ecosystem Health,Water Footprint,maximum water flow,Taps,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
14,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum water flow,Water Efficiency,Ecosystem Health,Water Footprint,maximum water flow,Showers,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
15,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,full flush volume,Water Efficiency,Ecosystem Health,Water Footprint,full flush volume,WC,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
16,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum average flush,Water Efficiency,Ecosystem Health,Water Footprint,maximum average flush,WC,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
17,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum,Water Efficiency,Ecosystem Health,Water Footprint,full flush volume/bowl/hour,Urinal,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
18,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum full flush volume,Water Efficiency,Ecosystem Health,Water Footprint,maximum average flush,Urinal,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
19,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,maximum,Water Efficiency,Ecosystem Health,Water Footprint,maximum average flush,Urinal,Product,Quantitative,Representation,-,Water Efficiency,Water Management,Product Specification Sheet,,
20,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,weight),Waste Mass,Circular Economy,Waste Management,non-haradous waste,,Waste,Quantitative,Representation,-,Physical characteristics,Waste Management,Material Passport,,
20,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,weight),Waste Mass,Circular Economy,Waste Management,Waste,,Waste,Quantitative,Representation,-,Physical characteristics,Waste Management,Material Passport,,
21,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,may come into contact with occupiers,Substance of Concern Management,Human Health,,formaldehyde mg/m3,Formaldehyde,Material,Quantitative,Representation,-,Physical characteristics,Safety,Material Passport,,
22,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,"construction is located on a potentially contaminated site (brownfield site),",Location prior use,Human Health,,Is it a potentially contaminated site,,Site,Binary,Verification,-,Physical characteristics,-,Site investigation report,,
23,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,has been subject to an investigation for potential contaminants,Location prior use,Human Health,,Is it a potentially contaminated site,,Site,Binary,Verification,-,Physical characteristics,-,Site investigation report,,
24,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,new construction is not built on one of the following,Location prior use,Asset Integrity,,Construction site,,Site,Quantitative,Representation,-,Physical characteristics,-,Site investigation report,,
24,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,new construction is not built on one of the following,Location prior use,Asset Integrity,,Construction site,,Site,Quantitative,Representation,-,Physical characteristics,-,Site investigation report,,
24,EU Tax,Top-down,Regulation,Tax_Adap_7_1,Data point,new construction is not built on one of the following,Location prior use,Asset Integrity,,Construction site,,Site,Quantitative,Representation,-,Physical characteristics,-,Site investigation report,,
25,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,n expected lifespa,Expected Asset Lifetime,Asset Integrity,,Building,,Building,Quantitative,Representation,-,Element Resilience,-,Building Information,,
26,EU Tax,Top-down,Regulation,Tax_Adap_7_2,Data point,"The building is not dedicated to extraction, storage, transport or manufacture of fossil fuels. ",Fossil Fuel Depletion,Climate Health,Climate Resilience Strategies,Project,,Project,Binary,Verification,-,Carbon Emission,-,Environmental Impact Assessments (EIAs),,
